id,name,birth_year,birth_city,profession,bio_text,migration_status,migration_reasoning
766,Авдєєв Всеволод  Миколайович,1877.0,–1932,цирковий актор (борець),"(1877 –1932) – цирковий актор (борець). Навч. на юрид. факультеті Київ. університету. Був драм. актором, брав участь у гастрол. поїздках трупи П. Орленєва. Як борець виступав від 1910 під псевд....",non_migrated,Circus actor (1877–1932) who toured but remained within Russian/Soviet sphere throughout career.
767,Авдєєва Марина Самуїлівна,1951.0,Київ,архітектор,"(06. 02. 1951, Київ) — архітектор. Вчений секретар (1993—2022), член-кореспондент (1998) Української академії архітектури. Кандидат архітектури (1989). Член НСАУ (1984). Закінчила Київський художній інститут...",non_migrated,Born and based in Kyiv throughout career as architect up to 2022.
768,Авдєєнко Вадим  Андрійович,1942.0,"м. Уяр Краснояр. краю, РФ",актор,"(19. 06. 1942, м. Уяр Краснояр. краю, РФ) – актор, театральний менеджер. Заслужений діяч мистецтв
України (1996). Закін. Київ. інститут театр. мистецтва (1969, курс В. Биковця та Є. Веховської) та Київ....",non_migrated,Born Krasnoyarsk; graduated and worked in Kyiv from 1969 onward — no emigration from Ukraine.
770,Авдієнко Тетяна  Петрівна,1938.0,Херсон,акторка,"(Аведикова-Авдієнко; 08. 01. 1938, Херсон) – акторка. Заслужений артист УРСР (1966). Дочка П. Аведикова-Авдієнка. Закін. Київ. інститут театр. мистецтва (1960, курс В. Харченка). Працювала у Вінн. (1960–62),...",non_migrated,Born Kherson; worked in Vinnytsia and other Ukrainian theatres throughout career.
772,Авдоніна-Шперґль Галина  Федорівна,1950.0,"м. Станіслав, нині Івано-Франківськ",художник декоративно-ужиткового мистецтва,"(04. 09. 1950, м. Станіслав, нині Івано-Франківськ) – художник декоративно-ужиткового мистецтва. Член НСХУ (1986). Закін. факультет худож. кераміки Львів. інституту декор. і приклад. мистецтва (1973;...",non_migrated,Born Ivano-Frankivsk; graduated Lviv 1973 and worked in Ukraine.
782,Авраменко Олена Іванівна,1950.0,Київ,архітектор,"(15. 12. 1950, Київ) – архітектор. Заслужений діяч мистецтв України (1997). Закін. Київський художній інститут (1976; викл. Ю. Асєєв, А. Добровольський, О. Музика). Відтоді працює у ньому (нині Нац....",non_migrated,Born Kyiv; graduated and worked at Kyiv institute throughout career.
785,Авраменко Василь  Кузьмич,1936.0,"Мурманськ, РФ",графік,"(31. 01. 1936, Мурманськ, РФ) – графік. Член СХУ (до 1976). Закін. Київський художній інститут (1962). Вчителі з фаху – С. Єржиківський, І. Штільман, В. Касіян, І. Плещинський, Г. Якутович. Від 1963 –...",non_migrated,Born Murmansk; graduated Kyiv 1962 and worked in Ukraine from 1963 onward.
787,Авраменко Володимир  Анатолійович,1945.0,с. Острів Рокитнян. р-ну Київ. обл.,прозаїк,"(08. 03. 1945, с. Острів Рокитнян. р-ну Київ. обл.) – прозаїк. Член НСПУ (1997). У 1967–74

працював робітником на київ. заводах; 1974–80 – на госп. роботах, від 1980 – на адм. посадах. Автор зб. повістей...",non_migrated,Born Kyiv region; worked on Kyiv factories and in administrative roles in Ukraine throughout career.
788,Авраменко Володимир  Петрович,1932.0,с. Федорівка Карлів. р-ну Полтав. обл.,художник-графік,"(14. 11. 1932, с. Федорівка Карлів. р-ну Полтав. обл.) – художник-графік. Член НСХУ (1967). Закін. графіч. факультет Академіч.
інституту живопису та архітектури в Ленінграді (1963, майстерня О. Пахомова)....",non_migrated,Born Poltava region; graduated Leningrad 1963 and returned to work in Ukraine as graphic artist.
793,Авраменко Олеся Олександрівна,1959.0,Запоріжжя,мистецтвознавець,"(25. 10. 1959, Запоріжжя) – мистецтвознавець. Кандидат мистецтвознавства (1993). Старший науковий співробітник (2009). Заслужений діяч мистецтв України (2010). Національна премія України імені Тараса...",non_migrated,Born Zaporizhzhia; all career activity based in Ukraine as art scholar.
794,Авраменко Петро Михайлович,1978.0,"с. Мокляки Ємільчинського, нині Звягельського р-ну Житомирської обл.",режисер,"(30. 06. 1978, с. Мокляки Ємільчинського, нині Звягельського р-ну Житомирської обл.) — режисер, актор, педагог. Заслужений артист України (2018). Премія імені І. Франка у галузі інформаційної...",non_migrated,Born Zhytomyr region; career as director and actor based in Ukraine.
800,Автономов Леонід  Андрійович,1937.0,Київ,кінорежисер,"(01. 11. 1937, Київ) – кінорежисер, сценарист. Член НСКінУ (1972). Закін. кінорежисер. факультет Київ. інституту театр. мистецтва (1968, майстерня В. Небери). У 1968–94 – реж. студії «Укркінохроніка», на...",non_migrated,Born Kyiv; worked at Ukrkinokhronika studio in Kyiv 1968–94 and onward.
802,Агабекян Мелік  Хачикович,1947.0,"Сухумі, Абхазія",живописець,"(26. 06. 1947, Сухумі, Абхазія) – живописець. Член НСХУ (1986). Закін. Єреван. худож.-театр. інститут (1980, майстерня Е. Ісабекяна, С. Мурадяна). Викладав у Єреван. худож. училищі (1973–74) та Єреван....",non_migrated,Born Sukhumi; graduated Yerevan and worked in Yerevan before settling in Ukraine — moved to Ukraine from Soviet Armenia; no emigration from Soviet sphere to West.
803,Агабекян Лілія Олександрівна,1951.0,"м. Шекі, Азербайджан",живописець,"(26. 04. 1951, м. Шекі, Азербайджан) – живописець. Дружина М. Агабекяна. Член НСХУ (2002). Закін. Єреван. худож.-театр. інститут (1980; майстерня Е. Ісабекяна). 1981–89 – керівник гуртка образотвор. мистецтва...",non_migrated,Born Sheki Azerbaijan; graduated Yerevan 1980; worked in Ukraine from 1981 — moved within Soviet sphere to Ukraine.
804,Агамян Олена  Борисівна,1951.0,Київ,художник (книжкова та станкова графіка),"(10. 01. 1951, Київ) – художник (книжкова та станкова графіка). Дочка Б. Рапопорта. Член НСХУ (1988). Закін. Моск. полігр. інститут (1977, викл. А. Гончаров, П. Захаров, Ю. Бурджелян). 1970–85 – художник-дизайнер...",non_migrated,Born Kyiv; graduated Moscow 1977 and worked in Ukraine as graphic artist.
806,Агарков Андрій Леонідович,1963.0,Севастополь,поет,"(19. 06. 1963, Севастополь) – поет. Член НСПУ (2003). Закін. Чорномор. вище військ.-мор. училище (1985). Відтоді – на військ. службі. Пише російською мовою. Автор зб. «Цветные мгновения» (1999), «Лучей изломы»...",non_migrated,Born Sevastopol; military career then settled in Ukraine as poet writing in Russian.
807,Агафонов Володимир  Олексійович,1935.0,"м. Ростов Ярослав. обл., РФ",диригент і педагог,"(13. 09. 1935, м. Ростов Ярослав. обл., РФ) – диригент і педагог. Заслужений артист УРСР (1987). Закін. Ленінгр. (1965), Київ. (1971, кл. М. Колесси, В. Гнєдаша) консерваторії. 1965–66 – арт. оркестру Крим. обл....",non_migrated,Born Yaroslavl region RF; graduated Leningrad and Kyiv conservatories and worked in Ukraine from 1965.
809,Агафонов Олександр  Олександрович,1947.0,Київ,живописець,"(02. 02. 1947, Київ) – живописець, скульптор. Член НСХУ (1974).

Закін. Київський художній інститут (1971, навч. у І. Селіванова, В. Касіяна, З. Толкачова). Від 1963 бере участь у регіон. та міжнар. виставках....",non_migrated,Born Kyiv; graduated Kyiv 1971 and exhibited in Ukraine throughout career.
811,Агеєва Віра Павлівна,1958.0,м. Бахмач Чернігівської обл.,літературознавець,"(30. 07. 1958, м. Бахмач Чернігівської обл.) – літературознавець, критик. Доктор філологічних наук (1995). Державна премія
України ім. Т. Шевченка (1996; як співавтор «Історії української літератури 20...",non_migrated,Born Bakhmach; doctoral work and career entirely in Ukraine as literary scholar.
812,Агеєнко Олександр  Наумович,1853.0,,архітектор,"(1853 – поч. 20 ст.) – архітектор. Брат В. Агеєнка. Закін. буд. училище в С.-Петербурзі (1876). Від 1882 жив і працював в Україні. 1882–88 – мол. архітектор Таврій. губ., від 1889 – мелітопол. міський...",non_migrated,Born 1853; architect who came to Ukraine in 1882 and worked there — pre-Soviet era figure; stayed in Ukraine.
814,Агірба Руслан  Зурабович,1957.0,"м. Батумі, Грузія",художник-графік,"(27. 09. 1957, м. Батумі, Грузія) – художник-графік. Закін. графіч. факультет Укр. полігр. інституту (1981). Член Спілки графіків України (1989). Нагороди на міжнар. конкурсах вільної графіки та...",non_migrated,Born Batumi Georgia; graduated Lviv 1981 and worked in Ukraine as graphic artist.
818,Агратина Діана  Владиленівна,1952.0,Київ,скрипалька,"(09. 02. 1952, Київ) – скрипалька. Заслужений артист України (1998). Закін. Київ.

консерваторію (1976, кл. скрипки Б. Которовича). Від 1976 – солістка Нац. оркестру нар.
інструментів України. Грає на...",non_migrated,Born Kyiv; graduated Kyiv Conservatory 1976 and has been soloist of National Orchestra of Folk Instruments of Ukraine since.
820,Адаменко Сергій  Миколайович,1958.0,Київ,диригент,"(27. 12. 1958, Київ) – диригент. Заслужений артист України (1993). Закін. факультет хор. диригування Київ. консерваторії (1983, викл. В. Чуба). 1979–89 – хормейстер Оперної студії Київ. консерваторії; 1989–91...",non_migrated,Born Kyiv; graduated Kyiv 1983 and worked in Ukraine as conductor.
821,Адаменко Станіслав  Михайлович,1949.0,"с. Поташ Тальнів. р-ну Київ., нині Черкас. обл.",художник,"(31. 07. 1949, с. Поташ Тальнів. р-ну Київ., нині Черкас. обл.) – художник, архітектор. Чоловік М. Ралко, батько О. Адаменка. Народний художник України (1994). Член НСХУ (1990). Державна премія
України ім....",non_migrated,Born Cherkasy region; worked in Ukraine as artist and architect throughout career.
825,Адамович Галина  Григорівна,1949.0,"ст. Хацапетівка Єнакіїв. р-ну Сталін. обл., нині м. Вуглегірськ Донец. обл.",художник (живопис,"(19. 03. 1949, ст. Хацапетівка Єнакіїв. р-ну Сталін. обл., нині м. Вуглегірськ Донец. обл.) – художник (живопис, графіка). Член НСХУ (1989). Закін. Київський художній інститут (1980, майстерня В. Шаталіна)....",non_migrated,Born Donetsk region; graduated Kyiv 1980 and worked in Ukraine.
826,Адамович Роман  Сергійович,1945.0,Київ,художник театру і кіно,"(26. 07. 1945, Київ) – художник театру і кіно, живописець і графік. Член НСХУ (1972). Закін. ВДІК (Москва, 1971, майстерня Ю. Пиминова, І. Іванова-Вано). Художник-постановник х/ф: «Бумбараш» (1972), «Королі і...",non_migrated,Born Kyiv; graduated Moscow VGIK 1971 and worked as film art director in Ukraine.
833,Адруг Анатолій  Кіндратович,1947.0,Чернігів,мистецтвознавець,"(30. 12. 1947, Чернігів) – мистецтвознавець. Канд. мистецтвознавства (1981). Член НСХУ (1989). Закін. Київський художній інститут (1973). У 1973–78 – науковий співробітник Черніг. архіт.-істор. заповідника,...",non_migrated,Born Chernihiv; graduated Kyiv 1973 and worked in Ukraine as art scholar.
835,Азаркін Олександр  Олександрович,1960.0,"с. Добрунь Брянської обл., РФ",художник,"(18. 06. 1960, с. Добрунь Брянської обл., РФ) – художник, кераміст. Закін. Харків. худож.-пром. інститут (1989, педагоги – Є. Єгоров, С. Солодовник, А. Константинопольський). Працював викл. образ....",non_migrated,Born Bryansk RF; graduated Kharkiv 1989 and worked in Ukraine as ceramic artist.
836,Азаркіна Марина  Анатоліївна,1963.0,"м. Амдерма Архангел. обл., РФ",художник,"(10. 02. 1963, м. Амдерма Архангел. обл., РФ) – художник, кераміст. Від 1970 мешкає в Харкові, де закін. художню студію (1978, педагог Л. Стиль); художнє училище (1982, педагоги – В. Ярошенко, В. Гольба, О....",non_migrated,Born Arkhangel RF; moved to Kharkiv from age 7 and studied and worked there — long-term Ukraine resident.
838,Азарова Світлана Анатоліївна,1976.0,м. Ізмаїл Одес. обл.,композитор,"(09. 01. 1976, м. Ізмаїл Одес. обл.) – композитор, педагог. Член НСКУ. Закін. муз.-пед. факультет Одес. пед. інституту (1996), Одес. консерваторію (2000; кл. К. Цепколенко). Удосконалювала майстерність на...",non_migrated,Born Izmail; studied Odesa and worked in Ukraine as composer.
839,Азарова Антоніна  Іванівна,1939.0,Севастополь,акторка,"(04. 11. 1939, Севастополь) – акторка. Член НСТДУ (1962). Заслужений артист АР Крим (1999). Закін. Крим. культ.-осв. училище (1965). Від 1958 – актриса Крим. театру ляльок. А. – виконавиця гол. ролей репертуару;...",non_migrated,Born Sevastopol; worked in Crimean puppet theatre from 1958 onward.
843,Азманов Валерій Іванович,1948.0,"м. Болград Ізмаїльської, нині Одеської обл.",письменник,"(17. 02. 1948, м. Болград Ізмаїльської, нині Одеської обл.) — письменник. Член НСПУ (2012), НСЖУ (2010). Літературна премія імені М. Кирієнка-Волошина (2019). Закінчив Київський інженерно-будівельний...",non_migrated,Born Bolhrad; worked as journalist and writer based in Ukraine.
853,Акбар Могаммед Хурасані,1961.0,"с. Сантахт провінції Урузґан, Афганістан",художник,"(жовтень 1961, с. Сантахт провінції Урузґан, Афганістан) – художник. З походження афганець. Від кінця 80-х рр. живе і працює в Україні. Закін. Укр. академію мистецтв (1994, педагоги – В. Пузирков і Т....",non_migrated,Afghan-born painter who settled in Ukraine from late 1980s and graduated Kyiv art academy 1994 — moved to Ukraine; no subsequent emigration noted.
855,Акимов Дмитро Ігорович,1962.0,Київ,композитор-симфоніст,"(09. 01. 1962, Київ) – композитор-симфоніст, письменник, мистецтвознавець. Заслужений діяч мистецтв України (1999). Кандидат історичних (2000), доктор соціологічних (2012) наук. Закінчив факультет...",non_migrated,Born Kyiv; career entirely in Ukraine as composer and scholar.
857,Акимов Олександр Романович,1932.0,м. Костянтинівка Донец. обл.,актор,"(09. 08.
1932, м. Костянтинівка Донец. обл.) – актор. Заслужений артист України (1977). Закін. Дніпроп. театр. училище (1955). Працював на сцені Держ. театру ім. О. Пушкіна (м. Єнакієве, 1955). Від 1959 – актор...",non_migrated,Born Kostiantynivka; graduated Dnipropetrovsk 1955 and worked in Ukrainian theatres from 1959.
858,Акинша Костянтин Олександрович,1960.0,Київ,мистецтвознавець,"(05. 07. 1960, Київ) – мистецтвознавець. Член НСХУ (1990). Закін. мистецтвознавче відділ. Моск. університету (1985). Працював у Київ. музеї зх. і сх. мистецтва (1983–86), ж. «Artnews» (Нью-Йорк, 1990–93), викл....",migrated,Born Kyiv; worked at Artnews New York 1990–93 and later taught in the USA — settled in Western country for substantial part of adult life.
861,Акіменко Алла Олександрівна,1975.0,"смт Недригайлів, нині с-ще Роменського р-ну Сумської обл.",поетеса,"(15. 02. 1975, смт Недригайлів, нині с-ще Роменського р-ну Сумської обл.) — поетеса. Членкиня НСПУ (2012). Премія «Гранослов» (2004). Закінчила Сумський педагогічний інститут (1997). Відтоді на...",non_migrated,Born Sumy region; graduated Sumy and worked in Ukraine as poet.
862,Акопов Валерій Федорович,1939.0,Київ,художник-пейзажист,"(11. 10. 1939, Київ) – художник-пейзажист. Член НСХУ (1986). Навч. худож. майстерності в студії Ю. Вайсбурга (1959–61). Від 1961 працює самостійно, від 1965 бере участь у респ. і міських виставках; 1974 – перша...",non_migrated,Born Kyiv; worked independently in Ukraine as landscape painter from 1961.
866,Аксьоненко Наталія Олегівна,1956.0,м. Гадяч Полтав. обл.,художник (декоративно-ужиткове мистецтво),"(26. 04. 1956, м. Гадяч Полтав. обл.) – художник (декоративно-ужиткове мистецтво). Заслужений художник України (2019). Член НСХУ (1986). Закін. відділ. худож. кераміки Миргород. керам. технікуму (1979, викл. С....",non_migrated,Born Poltava region; worked in Ukraine as decorative arts artist.
868,Аксьонов Вадим Юрійович,1965.0,Львів,художник,"(29. 11. 1965, Львів) – художник. Член НСХУ (1997). Закін. Львів. інститут прикладного та декоративного мистецтва (1993, викл. Ю. Дворник, М. Андрущенко, О. Карпов, Я. Ульгурський). 1990–91 – художник Львів....",non_migrated,Born Lviv; graduated Lviv 1993 and worked in Ukraine.
870,Аксьонова Наталія Петрівна,1947.0,"м. Майкоп, Респ. Адигея Краснодар. краю, РФ",художник кіно і телебачення,"(03. 01. 1947, м. Майкоп, Респ. Адигея Краснодар. краю, РФ) – художник кіно і телебачення. Член НСХУ (1981), НСКінУ (1983). Закін. художній факультет Всесоюз.
інституту кінематографії (1976, майстерня П....",non_migrated,Born Maikop RF; graduated Moscow film institute 1976 and worked in Ukraine as film and TV artist.
874,Алатарцев Михайло Дмитрович,1947.0,"м. Єнакієве Сталін., нині Донец. обл.",живописець,"(14. 08. 1947, м. Єнакієве Сталін., нині Донец. обл.) – живописець, графік. Член НСХУ (1999). Закін. Харків. худож.-пром. інститут (1976, викл. – Є. Биков, Є. Жердицький, О. Хмельницький). Від 1969 працював на...",non_migrated,Born Donetsk region; graduated Kharkiv 1976 and worked in Ukraine.
875,Албул Олександр Володимирович,1955.0,м. Винники Львів. обл.,композитор,"(02. 01. 1955, м. Винники Львів. обл.) – композитор. Член НСКУ (1999). Закін. Львів. консерваторію (1984, кл. Д. Задора). Від 1975 – концертмейстер Львів. муз.-пед.
училища (нині Пед. коледж при Львів....",non_migrated,Born Vynnyky Lviv region; graduated Lviv 1984 and worked as composer in Ukraine.
876,Албул Роман Валерійович,1984.0,м. Шостка Сумської обл.,скульптор,"(25. 03. 1984, м. Шостка Сумської обл.) — скульптор, кераміст. Син Валерія та Наталії Албулів. Член НСХУ (2021). Під час навчання в Одеській мистецькій художній школі № 1 (1996—99; викладач Т. Іщенко)...",non_migrated,Born Shostka; graduated Odesa and works as sculptor in Ukraine.
877,Албул Наталія Анатоліївна,1959.0,с. Чапліївка Шосткінського р-ну Сумської обл.,художниця-фарфористка,"(14. 09. 1959, с. Чапліївка Шосткінського р-ну Сумської обл.) — художниця-фарфористка, керамістка. Дружина Валерія, мати Романа Албулів. Закінчила художнє училище (1979; викладачі Н. Федорова, Л....",non_migrated,Born Sumy region; studied and worked in Ukraine as ceramic artist.
881,Александров Вадим Костянтинович,1950.0,Баку,живописець,"(25. 06. 1950, Баку) – живописець, графік. Член НСХУ (1989). Закін. факультет графіч. дизайну Харків. худож.-пром. інституту (1986, навч. у В. Ігуменцева, О. Мартинця, В. Побєдіна). 1986–92 – зав. лаб. офорту...",non_migrated,Born Baku; graduated Kharkiv 1986 and worked in Ukraine as painter and graphic artist.
885,Александров Михайло Юрійович,1963.0,"м. Гвардійськ Калінінгр. обл., РФ",графік,"(12. 09. 1963, м. Гвардійськ Калінінгр. обл., РФ) – графік. Член НСХУ (1989). Перша премія Міжнар. конкурсу в Італії (Сант-Джованні Боно, 1995). Закін. Київський художній інститут (1989, майстерня В. Чебаника)...",non_migrated,Born Kaliningrad RF; graduated Kyiv 1989 and worked in Ukraine; won international prize in Italy but no indication of emigration.
886,Александров Олександр Васильович,1947.0,с. Воронівка Вознесен. р-ну Микол. обл.,літературознавець,"(29. 07. 1947, с. Воронівка Вознесен. р-ну Микол. обл.) – літературознавець. Доктор філологічних наук (1999). Закін. Одес. університет (1975), де відтоді й працює: асист., від 1985 – доцент кафедри рос. літ-ри,...",non_migrated,Born Mykolaiv region; graduated Odesa 1975 and worked at Odesa university throughout career.
889,Александрова Владмира Іванівна,1959.0,"смт Лисець Лисец. р-ну Станіслав. обл., нині Тисмениц. р-ну Івано-Фр. обл.",графік,"(23. 01. 1959, смт Лисець Лисец. р-ну Станіслав. обл., нині Тисмениц. р-ну Івано-Фр. обл.) – графік. Член НСХУ (1993). Закін. факультет станк. графіки Харків. худож.-пром. інституту (1983, педагоги – Й. Карась,...",non_migrated,Born Ivano-Frankivsk region; graduated Kharkiv 1983 and worked in Ukraine as graphic artist.
891,Александрова Наталія Глібівна,1951.0,Одеса,музикознавець,"(04. 03. 1951, Одеса) – музикознавець. Канд. мистецтвознавства (1987). Член  НСКУ (1990). Закін. Одес. консерваторію (1974, кл. Р. Розенберґ). Від 1974 – викладач, доцент кафедри теорії музики та композиції...",non_migrated,Born Odesa; graduated Odesa Conservatory 1974 and worked there as music scholar throughout career.
895,Александрович Федір Андрійович,1982.0,Київ,художник театру,"(15. 10. 1982, Київ) – художник театру, живописець. Син А. Александровича-Дочевського, онук І. Александровича, праправнук І. Александровича-Дочевського. Член НСХУ (2008). Закін. Нац. академію...",non_migrated,Born Kyiv; graduated Kyiv art academy and worked in Ukraine as theatre artist.
896,Александрович-Дочевський Андрій Ігорович,1958.0,Київ,художник театру,"(07. 07. 1958, Київ) – художник театру, живописець. Батько Ф. Александровича, син І. Александровича, внук І. Александровича-Дочевського. Заслужений діяч мистецтв України (1998). Член НСХУ (1989), член...",non_migrated,Born Kyiv; worked in Ukraine as theatre artist and painter throughout career.
899,Алексанян Анатолій Григорович,1946.0,"м. Краснодон Ворошиловгр., нині Луган. обл.",піаніст,"(01. 12. 1946, м. Краснодон Ворошиловгр., нині Луган. обл.) – піаніст. Концертує від 1962. Виступав у складі естрад. ансамблів Сіверськодонецька, Донецька, Ростова-на-Дону (РФ), Луганська (1962–65, 1968–69)....",non_migrated,Born Luhansk region; performed in Soviet-era ensembles in Donbas and Rostov-on-Don but bio indicates career primarily in Ukraine.
901,Алексєєв Микола Михайлович,1951.0,Кіровоград,живописець,"(06. 06. 1951, Кіровоград) – живописець. Член НСХУ (1992). Закін. живописно-пед. відділ. Одес. худож. училища (1973, викл. Д. Єгоров). Працював кер. гуртка образотвор. мистецтва у Кіровограді (1973); на заводі...",non_migrated,Born Kropyvnytskyi; studied Odesa and worked in Ukraine as painter.
904,Алексєєв Юрій Васильович,1936.0,"с. Бельково Новгород. обл., РФ",диригент,"(29. 04. 1936, с. Бельково Новгород. обл., РФ) – диригент, композитор. Заслужений діяч мистецтв УРСР (1984). Брат О. Алексєєва. Закін. Ленінгр. муз. училище (1957), Урал. консерваторію (1963, Свердловськ, нині...",non_migrated,Born Novgorod RF; graduated Ural Conservatory and worked in Ukraine as conductor — moved to Ukrainian SSR; no emigration.
905,Алексєєва Світлана Анатоліївна,1949.0,"м. Ізмаїл, нині Одес. обл.",графік,"(25. 12. 1949, м. Ізмаїл, нині Одес. обл.) – графік, живописець. Член НСХУ (1993). Закін. Ужгород. училище декор.-ужитк. мистецтва (1969), Харків. худож.-пром. інститут (1976, факультет худож. конструювання,...",non_migrated,Born Izmail; graduated Uzhhorod and Kharkiv and worked in Ukraine as graphic artist and painter.
906,Алексєєва Світлана Павлівна,1930.0,"Курськ, РФ",музикознавець,"(21. 01. 1930, Курськ, РФ) – музикознавець. Член НСКУ (1981). Закін. консерваторію (1955). Працювала лектором-музикознавцем Київ. держ. філармонії (1955–97). Учасниця фестивалів, присвяч. пам’яті П....",non_migrated,Born Kursk RF; worked at Kyiv Philharmonia 1955–97 as music lecturer in Ukraine.
908,Алексєєва-Юневич Марія Павлівна,1848.0,"–1922, Київ",співачка (сопрано),"(1848–1922, Київ) – співачка (сопрано), педагог. Співала на сцені Великого театру в Москві. 1886–87 – солістка Київ. опери, 1886–1913 – викладач Київ. муз. училища, 1913–16 – проф. Київ. консерваторії....",non_migrated,Soprano (1848–1922) who performed and taught in Kyiv throughout her career — pre-Soviet figure who remained in Ukraine.
909,Алексєєнко Борис Васильович,1929.0,"Краснодар, РФ",композитор,"(18. 08. 1929, Краснодар, РФ) – композитор. Член НСКУ (1968). Закін. композитор. факультет Київ. консерваторії (1958, кл. К. Данькевича). Працював худож. кер. Терноп. обл. філармонії та викл. муз.-теор....",non_migrated,Born Krasnodar RF; graduated Kyiv Conservatory 1958 and worked in Ukraine as composer.
911,Алексик Андрій Андрійович,1939.0,"с. Великі Ком’яти, нині Виноградів. р-ну Закарп. обл.",оперний співак (бас),"(20. 04. 1939, с. Великі Ком’яти, нині Виноградів. р-ну Закарп. обл.) – оперний співак (бас). Нар. арт. РРФСР (1985). Закін. Львів. консерваторію (1970, кл. О. Дарчука). Працював в опер. театрах Росії – у...",internal_transfer,Born Zakarpattia; graduated Lviv; voluntarily built long-term career in Russian opera theatres and was awarded People's Artist of RSFSR — moved to Soviet Russia not the West.
