name,birth_year,death_year,migration_status,profession_raw,birth_location,gender,duration,event_observed,cohort,implausibly_alive,likely_post_soviet_emigrant
Глинов Анатолій Сергійович,1916.0,1997.0,non_migrated,живописець і педагог,,male,81.0,1,dead,False,False
Голота Петро Іванович,1902.0,1949.0,non_migrated,письменник,,male,47.0,1,dead,False,False
Гонтарук Ніна,1887.0,1950.0,migrated,співачка (колоратурне сопрано),,female,63.0,1,dead,False,False
Гребінецька Марія Зиновіївна,1883.0,1971.0,migrated,співачка (сопрано),,female,88.0,1,dead,False,False
Гребінчишин Іван,1891.0,1970.0,migrated,письменник,,male,79.0,1,dead,False,False
Ґрегем Джон,1886.0,1961.0,migrated,живописець,,male,75.0,1,dead,False,False
Ґренджа-Донський Василь Степанович,1897.0,1974.0,migrated,письменник,,male,77.0,1,dead,False,False
Грива Максим,1893.0,1931.0,migrated,поет,,male,38.0,1,dead,False,False
Григоренко Грицько,1867.0,1924.0,non_migrated,письменниця,,male,57.0,1,dead,False,False
Григорович Іван,1876.0,1937.0,non_migrated,співак (тенор),,male,61.0,1,dead,False,False
Григорович Іван Стахійович,1872.0,1930.0,internal_transfer,співак (бас),,male,58.0,1,dead,False,False
Гриневичева Катря,1875.0,1947.0,migrated,письменниця і громадська діячка,,female,72.0,1,dead,False,False
Грузберґ Семен  Борисович,1918.0,2000.0,non_migrated,графік,,male,82.0,1,dead,False,False
Гур’єв Борис Микитович,1920.0,1992.0,non_migrated,літературознавець,,male,72.0,1,dead,False,False
Далека Лідія,1889.0,1983.0,migrated,поетеса,,female,94.0,1,dead,False,False
Демидов Кузьма Прохорович,1868.0,1931.0,non_migrated,актор,,male,63.0,1,dead,False,False
Денисенко Ніна,1906.0,1976.0,migrated,балетмейстер,,female,70.0,1,dead,False,False
Дерен Майя,1917.0,1961.0,migrated,режисер,,female,44.0,1,dead,False,False
Джаманакли Меннан,1916.0,1942.0,non_migrated,кримськотатарський поет,,male,26.0,1,dead,False,False
Діамантопуло Олександр  Ахіллесович,1910.0,1976.0,non_migrated,письменник,,male,66.0,1,dead,False,False
Довгополюк Матвій Лукич,1893.0,1944.0,deported,письменник,,male,51.0,1,dead,False,False
Долинський Лев Володимирович,1906.0,1963.0,non_migrated,мистецтвознавець,,male,57.0,1,dead,False,False
Дорожний Іван,1897.0,1937.0,non_migrated,письменник,,male,40.0,1,dead,False,False
Дорошенко Вадим Олександрович,1905.0,1944.0,deported,мовознавець і перекладач,,male,39.0,1,dead,False,False
Дубков Юхим Михайлович,1895.0,1964.0,non_migrated,письменник,,male,69.0,1,dead,False,False
Дулова Марія Андріївна,1874.0,1968.0,internal_transfer,співачка (сопрано),,female,94.0,1,dead,False,False
Дурдуківський Сергій Федорович,1880.0,1933.0,non_migrated,співак (лірико-драматичний тенор),,male,53.0,1,dead,False,False
Дуфанець Марія,1903.0,1980.0,migrated,українська поетеса у Словаччині,,female,77.0,1,dead,False,False
Єржківський Микола,1894.0,1967.0,migrated,публіцист,,female,73.0,1,dead,False,False
Загоруйко Пилип Никифорович,1900.0,1935.0,non_migrated,письменник,,male,35.0,1,dead,False,False
Залуцький Василь,1895.0,1973.0,migrated,графік,,male,78.0,1,dead,False,False
Захаров Георгій,1898.0,1964.0,non_migrated,письменник,,male,66.0,1,dead,False,False
Західний Володимир Миколайович,1908.0,1977.0,internal_transfer,журналіст і перекладач,,male,69.0,1,dead,False,False
Збєжховський Генрик,1881.0,1942.0,migrated,письменник і журналіст,,male,61.0,1,dead,False,False
Звичайна Олена,1902.0,1985.0,deported,письменниця,,female,83.0,1,dead,False,False
Зеккі Якуб,1917.0,1977.0,non_migrated,кримськотатарський письменник,,male,60.0,1,dead,False,False
Земгано Іван Федорович,1903.0,1967.0,non_migrated,режисер,,male,64.0,1,dead,False,False
Зінов’єв Георгій Степанович,1876.0,1927.0,migrated,співак (драматичний тенор),,male,51.0,1,dead,False,False
Зоранчук Йосип,1889.0,1963.0,non_migrated,прозаїк,,male,74.0,1,dead,False,False
Зореслав,1909.0,2003.0,migrated,поет,,unknown,94.0,1,dead,False,False
Зорін Володимир Петрович,1904.0,1937.0,non_migrated,письменник,,male,33.0,1,dead,False,False
Зубар Михайло Іванович,1907.0,1992.0,non_migrated,мистецтвознавець і графік,,male,85.0,1,dead,False,False
Ізарський Олекса,1919.0,2007.0,migrated,письменник,,female,88.0,1,dead,False,False
Ірлявський Іван,1919.0,1942.0,non_migrated,поет,,male,23.0,1,dead,False,False
Кабарівська Северина Іванівна,1880.0,1929.0,non_migrated,письменниця,,female,49.0,1,dead,False,False
Кайданов Костянтин Євгенович,1883.0,1951.0,migrated,співак (бас),,male,68.0,1,dead,False,False
Калиненко Ігор,1917.0,1991.0,migrated,письменник,,male,74.0,1,dead,False,False
Калмиков Микола Іванович,1898.0,1951.0,migrated,живописець,,male,53.0,1,dead,False,False
Каменкович Златослава Борисівна,1915.0,1980.0,non_migrated,письменниця,,female,65.0,1,dead,False,False
Капшученко Петро Савич,1915.0,2006.0,migrated,скульптор,,male,91.0,1,dead,False,False
Карась-Галинський Юрій,1899.0,1943.0,non_migrated,письменник,,male,44.0,1,dead,False,False
Каргальський Сергій Іванович,1888.0,1938.0,non_migrated,актор,,male,50.0,1,dead,False,False
Карлашов Микола Кирилович,1881.0,1973.0,migrated,співак (бас),,male,92.0,1,dead,False,False
Карпатський Олександр Васильович,1889.0,1964.0,non_migrated,співак (баритон),,male,75.0,1,dead,False,False
Кац Зельман Мендельович,1911.0,2008.0,migrated,поет,,male,97.0,1,dead,False,False
Квітко Григорій Петрович,1897.0,1961.0,non_migrated,актор,,male,64.0,1,dead,False,False
Ке-Ша Інокентій Павлович,1901.0,1960.0,internal_transfer,графік,,male,59.0,1,dead,False,False
Кедр Ростислав,1905.0,2002.0,migrated,поет,,male,97.0,1,dead,False,False
Кержнер Олександр Хацкельович,1912.0,1981.0,non_migrated,живописець,,male,69.0,1,dead,False,False
Кізко Петро,1913.0,1976.0,migrated,письменник,,male,63.0,1,dead,False,False
Клапоущак Романна Володимирівна,1909.0,1981.0,non_migrated,співачка (драматичне сопрано),,female,72.0,1,dead,False,False
Кобрин Володимир Іванович,1879.0,1941.0,non_migrated,перекладач,,male,62.0,1,dead,False,False
Коваленко Олекса Кузьмич,1880.0,1927.0,internal_transfer,поет,,female,47.0,1,dead,False,False
Коваленко Прохор Тихонович,1884.0,1963.0,non_migrated,актор,,male,79.0,1,dead,False,False
Коваль Ярослав Ількович,1908.0,1997.0,non_migrated,мистецтвознавець,,male,89.0,1,dead,False,False
Ковальський Степан,1893.0,1981.0,migrated,поет,,male,88.0,1,dead,False,False
Ковбель Семен Федорович,1877.0,1966.0,migrated,письменник,,male,89.0,1,dead,False,False
Кодак Юрій Степанович,1916.0,1991.0,migrated,архітектор,,male,75.0,1,dead,False,False
Колос Борис,1895.0,1937.0,deported,публіцист,,male,42.0,1,dead,False,False
Кольцатий (Кальцатий) Аркадій Миколайович,1905.0,2002.0,internal_transfer,кінооператор,,male,97.0,1,dead,False,False
Конаш-Конашевич Василь-Станіслав,1914.0,1999.0,migrated,живописець,,male,85.0,1,dead,False,False
Корвін-Піотровський Володимир Львович,1891.0,1966.0,migrated,письменник,,male,75.0,1,dead,False,False
Кордюм Арнольд Володимирович,1890.0,1969.0,non_migrated,кіноактор,,male,79.0,1,dead,False,False
Косач-Кривинюк Ольга Петрівна,1877.0,1945.0,migrated,письменниця,,female,68.0,1,dead,False,False
Косинка Григорій Михайлович,1899.0,1934.0,non_migrated,прозаїк,,male,35.0,1,dead,False,False
Косинський Каетан,1847.0,1935.0,non_migrated,живописець,,male,88.0,1,dead,False,False
Костенко Федір Андрійович,1864.0,1930.0,non_migrated,драматург,,male,66.0,1,dead,False,False
Костров Тарас,1901.0,1930.0,deported,публіцист,,male,29.0,1,dead,False,False
Котлярчук Нектарій,1875.0,1934.0,migrated,релігійний і культурний діяч,,male,59.0,1,dead,False,False
Коханський-Гурільов Кирило Васильович,1888.0,1974.0,migrated,письменник,,male,86.0,1,dead,False,False
Крамськой Дмитро Олексійович,1894.0,1981.0,internal_transfer,режисер,,male,87.0,1,dead,False,False
Красовський Андрій Ілліч,1904.0,1942.0,non_migrated,письменник,,male,38.0,1,dead,False,False
Криворуцький Петро Мойсейович,1920.0,1987.0,non_migrated,скульптор,,male,67.0,1,dead,False,False
Кримський Володимир,1919.0,1996.0,migrated,письменник,,male,77.0,1,dead,False,False
Кройтор-Бішоп Тетяна,1904.0,1996.0,migrated,письменниця,,female,92.0,1,dead,False,False
Кроткий Еміль,1892.0,1963.0,internal_transfer,поет,,male,71.0,1,dead,False,False
Крушельницький Ярослав,1916.0,1973.0,migrated,живописець,,male,57.0,1,dead,False,False
Куликівна Софія,1899.0,1983.0,non_migrated,перекладачка,,female,84.0,1,dead,False,False
Кульчицький Роман Осипович,1908.0,1945.0,non_migrated,поет,,male,37.0,1,dead,False,False
Курбас Лесь,1887.0,1937.0,non_migrated,режисер,,male,50.0,1,dead,False,False
Лавровський Петро Мойсейович,1887.0,1946.0,migrated,український актор і ре­­жисер на Далекому Сході,,male,59.0,1,dead,False,False
Лазарев Лазар Аркадійович,1900.0,1952.0,deported,режисер,,male,52.0,1,dead,False,False
Лаппо-Данилевська Надія Олександрівна,1874.0,1951.0,migrated,письменниця,,female,77.0,1,dead,False,False
Ледянський Сергій,1906.0,2000.0,migrated,письменник,,male,94.0,1,dead,False,False
Леонтович Роман Андріянович,1883.0,1954.0,migrated,письменник,,male,71.0,1,dead,False,False
Леонтович-Башук Наталія Романівна,1918.0,1995.0,migrated,публіцистка,,female,77.0,1,dead,False,False
Лесич Вадим,1909.0,1982.0,migrated,поет,,male,73.0,1,dead,False,False
Лєсная Лідія Валентинівна,1889.0,1972.0,internal_transfer,поетеса,,female,83.0,1,dead,False,False
Лисько Зиновій,1895.0,1969.0,migrated,музикознавець,,male,74.0,1,dead,False,False
Лівшиць Бенедикт Костянтинович,1886.0,1938.0,internal_transfer,письменник,,male,52.0,1,dead,False,False
Лідваль Федір Іванович,1870.0,1945.0,migrated,архітектор,,male,75.0,1,dead,False,False
Лімниченко Василь,1899.0,1949.0,migrated,письменник,,male,50.0,1,dead,False,False
Лінський Михайло Семенович,1878.0,1941.0,migrated,графік,,male,63.0,1,dead,False,False
Лоза-Маковська Марія,1900.0,1969.0,migrated,письменниця,,female,69.0,1,dead,False,False
Лозовий Василь,1911.0,1995.0,non_migrated,письменник,,male,84.0,1,dead,False,False
Лойтер Ефраїм Борисович,1889.0,1963.0,internal_transfer,режисер,,male,74.0,1,dead,False,False
Лойтер Наум Борисович,1890.0,1966.0,internal_transfer,режисер,,male,76.0,1,dead,False,False
Лопушанський Володимир Миколайович,1903.0,1987.0,non_migrated,письменник,,male,84.0,1,dead,False,False
Лотоцький Лев Антонович,1850.0,1926.0,non_migrated,письменник,,male,76.0,1,dead,False,False
Луговий Олександр,1904.0,1962.0,migrated,письменник,,male,58.0,1,dead,False,False
Луців Лука Юрійович,1895.0,1984.0,migrated,літературознавець,,male,89.0,1,dead,False,False
Лучицький-Данченко Владислав Людвикович,1880.0,1960.0,non_migrated,актор,,male,80.0,1,dead,False,False
Лучицький-Оршанов Болеслав Людвикович,1869.0,1932.0,non_migrated,актор,,male,63.0,1,dead,False,False
Львов-Рогачевський Василь,1873.0,1930.0,internal_transfer,літературознавець,,male,57.0,1,dead,False,False
Любомирський Овсій  Йосипович,1884.0,1977.0,internal_transfer,театрознавець,,male,93.0,1,dead,False,False
Мазуренко Галя,1901.0,2001.0,migrated,поетеса,,female,100.0,1,dead,False,False
Май-Дніпрович Дмитро Артемович,1895.0,1930.0,internal_transfer,письменник,,male,35.0,1,dead,False,False
Майданик Яків Матвійович,1891.0,1984.0,migrated,письменник-гуморист,,male,93.0,1,dead,False,False
Максаков Максиміліан Карлович,1869.0,1936.0,internal_transfer,співак (драматичний баритон),,male,67.0,1,dead,False,False
Маляр Павло Микитович,1910.0,2005.0,migrated,письменник,,male,95.0,1,dead,False,False
Манґер Іцик,1901.0,1969.0,migrated,поет,,male,68.0,1,dead,False,False
Мане-Кац Мане Лазарович,1894.0,1962.0,migrated,живописець,,male,68.0,1,dead,False,False
Манило Іван Васильович,1918.0,1976.0,migrated,поет-байкар,,male,58.0,1,dead,False,False
Мані-Лейб,1883.0,1953.0,migrated,поет,,unknown,70.0,1,dead,False,False
Марго Борис Ізраїльович,1902.0,1995.0,migrated,живописець,,male,93.0,1,dead,False,False
Мартиненко Іван Григорович,1890.0,1942.0,non_migrated,поет,,male,52.0,1,dead,False,False
Мартон Адальберт Олександрович,1913.0,2007.0,migrated,живописець,,male,94.0,1,dead,False,False
Марфієвич Микола Іванович,1898.0,1967.0,non_migrated,письменник,,male,69.0,1,dead,False,False
Маслюк Михайло,1891.0,1941.0,non_migrated,співак (баритон),,male,50.0,1,dead,False,False
Масляк Ярослав Іванович,1909.0,1996.0,migrated,письменник,,male,87.0,1,dead,False,False
Матов Василь Федорович,1902.0,1990.0,non_migrated,актор,,male,88.0,1,dead,False,False
Матюнін Павло  Павлович,1885.0,1961.0,migrated,графік,,male,76.0,1,dead,False,False
Мельничук Оксана,1915.0,1986.0,migrated,українська поетеса,,female,71.0,1,dead,False,False
Менкарський Стефан-Ян,1895.0,1985.0,migrated,публіцист,,male,90.0,1,dead,False,False
Мережаний Юрко,1896.0,1983.0,internal_transfer,письменник,,male,87.0,1,dead,False,False
Мессак Тимофій,1915.0,1998.0,migrated,живописець,,male,83.0,1,dead,False,False
Мизинець Влас,1907.0,1943.0,non_migrated,письменник,,male,36.0,1,dead,False,False
Миклашевський Костянтин Михайлович,1886.0,1943.0,migrated,актор,,male,57.0,1,dead,False,False
Михайловський Михайло Еммануїлович,1917.0,1989.0,migrated,композитор,,male,72.0,1,dead,False,False
Миценко Михайло Петрович,1920.0,2001.0,non_migrated,письменник,,male,81.0,1,dead,False,False
Мінський Михайло Григорович,1918.0,1988.0,migrated,співак (баритон),,male,70.0,1,dead,False,False
Мітковіцер Петро  Веніамінович,1888.0,1942.0,internal_transfer,скульптор,,male,54.0,1,dead,False,False
Млаковий Михайло,1895.0,1976.0,migrated,письменник,,male,81.0,1,dead,False,False
Мова Денис Миколайович,1860.0,1922.0,non_migrated,актор,,male,62.0,1,dead,False,False
Могилевський Леонід,1898.0,1976.0,migrated,кінорежисер,,male,78.0,1,dead,False,False
Модестов Юлій Аронович,1874.0,1921.0,internal_transfer,співак (баритон),,male,47.0,1,dead,False,False
Монська Ольга Іванівна,1890.0,1925.0,migrated,співачка (сопрано),,female,35.0,1,dead,False,False
Мур Дан,1914.0,1978.0,migrated,поет,,male,64.0,1,dead,False,False
Мурович Лариса,1915.0,2002.0,migrated,поетеса,,female,87.0,1,dead,False,False
Мусатова-Кульженко Єлизавета Іванівна,1871.0,1951.0,migrated,співачка (сопрано),,female,80.0,1,dead,False,False
Наріжний Олександр Петрович,1894.0,1965.0,migrated,публіцист,,male,71.0,1,dead,False,False
Нейман Борис Володимирович,1888.0,1969.0,internal_transfer,літературознавець,,male,81.0,1,dead,False,False
Нестеренко Ольга Миколаївна,1890.0,1969.0,non_migrated,співачка (сопрано),,female,79.0,1,dead,False,False
Нижанківський Богдан Амвросійович,1909.0,1986.0,migrated,письменник,,male,77.0,1,dead,False,False
Ногін Панас,1913.0,1976.0,non_migrated,письменник,,male,63.0,1,dead,False,False
Павлюк Антін Пилипович,1902.0,1937.0,deported,письменник,,male,35.0,1,dead,False,False
Палій Микола-Мирослав,1911.0,1994.0,migrated,письменник,,male,83.0,1,dead,False,False
Паліцин Іван Осипович,1865.0,1931.0,internal_transfer,скрипаль,,male,66.0,1,dead,False,False
Панькевич Юліан Іванович,1863.0,1935.0,non_migrated,живописець і графік,,male,72.0,1,dead,False,False
Патрус-Карпатський Андрій Михайлович,1917.0,1980.0,non_migrated,письменник,,male,63.0,1,dead,False,False
Пежанський Григорій Олександрович,1860.0,1925.0,non_migrated,архітектор,,male,65.0,1,dead,False,False
Піаніда Борис Микитович,1920.0,1993.0,non_migrated,живописець,,male,73.0,1,dead,False,False
Підгайний Леонід Єрофійович,1899.0,1950.0,non_migrated,літературознавець,,male,51.0,1,dead,False,False
Платонов Юрій Гаврилович,1894.0,1953.0,internal_transfer,письменник,,male,59.0,1,dead,False,False
Сабов Євменій Іванович,1858.0,1934.0,non_migrated,літературознавець,,male,76.0,1,dead,False,False
Садовський Володимир,1865.0,1940.0,non_migrated,диригент,,male,75.0,1,dead,False,False
Самохваленко Євген,1917.0,1984.0,migrated,український поет у Польщі,,male,67.0,1,dead,False,False
Сливка Олександр Іванович,1909.0,2008.0,non_migrated,прозаїк,,male,99.0,1,dead,False,False
Соловей Оксана Дмитрівна,1919.0,2004.0,migrated,письменниця,,female,85.0,1,dead,False,False
Станинець Юрій Іванович,1906.0,1994.0,non_migrated,прозаїк,,male,88.0,1,dead,False,False
Сурмач Роман,1861.0,1935.0,migrated,письменник,,male,74.0,1,dead,False,False
Чічка-Андрієнко Клим,1885.0,1967.0,migrated,оперний співак,,male,82.0,1,dead,False,False
Штангей Володимир Фокович,1895.0,1937.0,non_migrated,письменник,,male,42.0,1,dead,False,False
Ліспектор Кларісе,1920.0,1977.0,migrated,бразильська письменниця,,unknown,57.0,1,dead,False,False
Щербаненко Джорджо,1911.0,1969.0,migrated,італійський журналіст і письменник українського походження,,male,58.0,1,dead,False,False
Абаза Костянтин Костянтинович,1841.0,1905.0,non_migrated,військовий педагог і письменник,,male,64.0,1,dead,False,False
Абаза Аркадій  Максимович,1845.0,1915.0,non_migrated,піаніст,"або 1848, Суджан. пов., нині Курська обл., РФ",male,70.0,1,dead,False,False
Аббакумов Степан  Тимофійович,1870.0,1919.0,non_migrated,диригент,,male,49.0,1,dead,False,False
Абдрашитов Вадим Юсупович,1945.0,2023.0,internal_transfer,кінорежисер,Харків,male,78.0,1,dead,False,False
Абдуреїм Ільяс  Шейх-заде,1898.0,1976.0,internal_transfer,кримськотатарський поет,"м. Карасубазар, нині Білогірськ, АР Крим",male,78.0,1,dead,False,False
Абесинова Наталія  Петрівна,1938.0,1998.0,non_migrated,архітектор,Москва,female,60.0,1,dead,False,False
Абизов Вадим Адільович,1955.0,2024.0,non_migrated,архітектор і дизайнер,Київ,male,69.0,1,dead,False,False
Абизов Володимир  Іванович,1925.0,1986.0,internal_transfer,письменник,"м. Кузнецьк Пензен. обл., РФ",male,61.0,1,dead,False,False
Абілєв Велі  Муратович,1898.0,1945.0,deported,кримськотатарський письменник,,male,47.0,1,dead,False,False
Абліцов Олександр  Іванович,1948.0,2017.0,non_migrated,поет,с. Новоукраїнка Куйбишев. р-ну Запоріз. обл.,male,69.0,1,dead,False,False
Аблялімов Мамбет,1935.0,1992.0,non_migrated,кримськотатарський поет,"м. Джанкой, АР Крим",male,57.0,1,dead,False,False
Абрамов Едуард Михайлович,1938.0,2024.0,non_migrated,письменник,"м. Усть-Каменогорськ, Казахстан",male,86.0,1,dead,False,False
Абрамов Віктор  Прокопович,1940.0,2016.0,non_migrated,художник-живописець,Львів,male,76.0,1,dead,False,False
Абселямов Мемет  Абселямович,1911.0,1988.0,internal_transfer,художник,Сімферополь,male,77.0,1,dead,False,False
Абуткова Наталія  Всеволодівна,1916.0,2003.0,non_migrated,художник (станковий живопис),,female,87.0,1,dead,False,False
Абчук Аврам  Пінхусович,1897.0,1937.0,deported,письменник і критик,Луцьк,male,40.0,1,dead,False,False
